name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,adaptiveStep,5000,11,CCLS,171,171,173,,11280,4,4,4,39844,17618724,33301286,8916989958,,109508828,,9077418796,
nfa_130_2.0_0.ba,11,131,adaptiveStep,5000,4,CCLS,131,131,133,,6815,5,5,5,14677,13912981,24819150,1573937605,,32952327,,1645622063,
nfa_70_2.0_2.ba,8,71,adaptiveStep,5000,0,CCLS,71,71,73,,6309,1,1,1,6309,7790516,16011113,112910672,,2318962,,139031263,
nfa_130_2.0_9.ba,11,131,adaptiveStep,5000,4,CCLS,131,131,133,,6692,5,5,5,14412,13728271,23952189,1518743242,,19448075,,1575871777,
nfa_50_2.0_2.ba,7,51,adaptiveStep,5000,0,CCLS,51,51,53,,1372,3,3,3,1372,7014316,13404101,29923094,,1156181,,51497692,
nfa_60_2.0_5.ba,7,61,adaptiveStep,5000,0,CCLS,61,61,63,,3274,4,4,4,3274,7084336,13991091,62905231,,2644973,,86625631,
nfa_200_2.0_4.ba,14,201,adaptiveStep,5000,27,CCLS,201,201,203,,10478,8,8,8,97656,26709812,38938612,42369477422,,150565624,,42585691470,
nfa_140_2.0_7.ba,11,141,adaptiveStep,5000,5,CCLS,141,141,143,,6720,5,5,5,16422,13643322,27242312,2071204564,,29806265,,2141896463,
nfa_100_2.0_5.ba,10,101,adaptiveStep,5000,2,CCLS,101,101,103,,6390,5,5,5,7129,10890309,20114506,539795856,,18294236,,589094907,
nfa_110_2.0_9.ba,10,111,adaptiveStep,5000,2,CCLS,111,111,113,,6451,4,4,4,8929,11458529,20802187,708274445,,9157328,,749692489,
nfa_210_2.0_4.ba,14,211,adaptiveStep,5000,35,CCLS,211,211,213,,12213,8,8,8,140131,23979009,37083071,75432348441,,212710416,,75706120937,
nfa_80_2.0_4.ba,8,81,adaptiveStep,5000,1,CCLS,81,81,83,,6772,5,5,5,6772,8358077,17186604,235899495,,15821992,,277266168,
nfa_60_2.0_4.ba,7,61,adaptiveStep,5000,0,CCLS,61,61,63,,3582,5,5,5,3582,6640365,14020771,58746159,,3202072,,82609367,
