name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,adaptiveStep,5000,11,CCL,171,171,,,11280,4,4,4,39844,17669751,,6895804556,,149441728,,7062916035,
nfa_130_2.0_0.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6815,5,5,5,14677,13005643,,1042492561,,23572851,,1079071055,
nfa_70_2.0_2.ba,8,71,adaptiveStep,5000,0,CCL,71,71,,,6309,1,1,1,6309,7986643,,89014838,,1849893,,98851374,
nfa_130_2.0_9.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6692,5,5,5,14412,13229912,,1041947700,,24860591,,1080038203,
nfa_220_2.0_2.ba,14,221,adaptiveStep,5000,42,CCL,221,221,,,14078,9,9,9,208770,29152642,,96972445504,,186612960,,97188211106,
nfa_50_2.0_2.ba,7,51,adaptiveStep,5000,0,CCL,51,51,,,1372,3,3,3,1372,6412400,,21919775,,961702,,29293877,
nfa_60_2.0_5.ba,7,61,adaptiveStep,5000,0,CCL,61,61,,,3274,4,4,4,3274,6968261,,44724411,,2526654,,54219326,
nfa_210_2.0_4.ba,14,211,adaptiveStep,5000,35,CCL,211,211,,,12213,8,8,8,140131,21601026,,60652299454,,234999391,,60908899871,
nfa_140_2.0_7.ba,11,141,adaptiveStep,5000,5,CCL,141,141,,,6720,5,5,5,16422,13933092,,1396244411,,27663603,,1437841106,
nfa_100_2.0_5.ba,10,101,adaptiveStep,5000,2,CCL,101,101,,,6390,5,5,5,7129,11157978,,407131011,,35863066,,454152055,
nfa_110_2.0_9.ba,10,111,adaptiveStep,5000,2,CCL,111,111,,,6451,4,4,4,8929,11999099,,534183480,,11800779,,557983358,
nfa_200_2.0_4.ba,14,201,adaptiveStep,5000,27,CCL,201,201,,,10478,8,8,8,97656,22640256,,32872553260,,126430437,,33021623953,
nfa_80_2.0_4.ba,8,81,adaptiveStep,5000,1,CCL,81,81,,,6772,5,5,5,6772,8291573,,192366790,,18266039,,218924402,
nfa_60_2.0_4.ba,7,61,adaptiveStep,5000,0,CCL,61,61,,,3582,5,5,5,3582,6784231,,50714179,,3154875,,60653285,
nfa_210_2.0_9.ba,14,211,adaptiveStep,5000,32,CCL,211,211,,,10889,7,7,7,121189,28007032,,49606949902,,68471920,,49703428854,
nfa_80_2.0_5.ba,8,81,adaptiveStep,5000,1,CCL,81,81,,,6835,5,5,5,6835,8251462,,191131879,,18200506,,217583847,
nfa_70_2.0_4.ba,8,71,adaptiveStep,5000,1,CCL,71,71,,,6697,1,1,1,6697,7959211,,156642268,,6149959,,170751438,
nfa_250_2.0_8.ba,15,251,adaptiveStep,5000,80,CCL,251,251,,,12520,8,8,8,434192,29833544,,332349496770,,255471255,,332634801569,
nfa_100_2.0_4.ba,10,101,adaptiveStep,5000,2,CCL,101,101,,,6559,4,4,4,7465,10801865,,395301989,,25825295,,431929149,
nfa_140_2.0_3.ba,11,141,adaptiveStep,5000,5,CCL,141,141,,,8430,5,5,5,17950,13886079,,1482639440,,27842328,,1524367847,
nfa_30_2.0_6.ba,5,31,adaptiveStep,5000,0,CCL,31,31,,,203,1,1,1,203,4912807,,10585355,,249860,,15748022,
nfa_190_2.0_4.ba,13,191,adaptiveStep,5000,18,CCL,191,191,,,13031,7,7,7,65973,21300460,,17155109849,,223177207,,17399587516,
nfa_200_2.0_0.ba,14,201,adaptiveStep,5000,24,CCL,201,201,,,9523,6,6,6,89042,24382864,,26636531801,,40158434,,26701073099,
nfa_30_2.0_0.ba,5,31,adaptiveStep,5000,0,CCL,31,31,,,189,3,3,3,189,4309406,,9683743,,327100,,14320249,
nfa_170_2.0_2.ba,13,171,adaptiveStep,5000,10,CCL,171,171,,,7819,4,4,4,34022,17322674,,4827069175,,27369958,,4871761807,
nfa_70_2.0_3.ba,8,71,adaptiveStep,5000,1,CCL,71,71,,,6736,3,3,3,6736,8086501,,147283049,,12558897,,167928447,
nfa_150_2.0_1.ba,12,151,adaptiveStep,5000,6,CCL,151,151,,,7809,4,4,4,22547,15607461,,2225727725,,24156902,,2265492088,
nfa_110_2.0_1.ba,10,111,adaptiveStep,5000,2,CCL,111,111,,,6500,4,4,4,9824,11661436,,549015480,,9540573,,570217489,
nfa_200_2.0_7.ba,14,201,adaptiveStep,5000,22,CCL,201,201,,,11721,8,8,8,97573,28006608,,31919610711,,43529308,,31991146627,
nfa_160_2.0_2.ba,12,161,adaptiveStep,5000,8,CCL,161,161,,,8323,6,6,6,29771,15560421,,3482221376,,12657847,,3510439644,
nfa_30_2.0_4.ba,5,31,adaptiveStep,5000,0,CCL,31,31,,,183,4,4,4,183,4403656,,9521463,,552230,,14477349,
nfa_130_2.0_2.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6624,4,4,4,14478,13599638,,1052290943,,20533567,,1086424148,
nfa_120_2.0_3.ba,10,121,adaptiveStep,5000,3,CCL,121,121,,,6857,7,7,7,10237,11962336,,692379619,,28782998,,733124953,
nfa_240_2.0_1.ba,15,241,adaptiveStep,5000,70,CCL,241,241,,,11573,5,5,5,342628,30109977,,284620034346,,73101626,,284723245949,
nfa_220_2.0_9.ba,14,221,adaptiveStep,5000,40,CCL,221,221,,,11349,9,9,9,185710,23387132,,82077620341,,106009178,,82207016651,
nfa_120_2.0_9.ba,10,121,adaptiveStep,5000,3,CCL,121,121,,,6828,4,4,4,10018,11649805,,715514310,,27747916,,754912031,
nfa_20_2.0_9.ba,4,21,adaptiveStep,5000,0,CCL,21,21,,,60,3,3,3,60,3577605,,7290920,,295771,,11164296,
nfa_140_2.0_6.ba,11,141,adaptiveStep,5000,5,CCL,141,141,,,6847,5,5,5,16053,14367358,,1327554695,,32469592,,1374391645,
nfa_130_2.0_8.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6703,1,1,1,14118,13756828,,1077943380,,12296367,,1103996575,
nfa_200_2.0_2.ba,14,201,adaptiveStep,5000,21,CCL,201,201,,,12591,6,6,6,78627,21236388,,24401500979,,91993968,,24514731335,
nfa_140_2.0_5.ba,11,141,adaptiveStep,5000,4,CCL,141,141,,,6934,5,5,5,17388,13804158,,1278711247,,7440339,,1299955744,
