name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,,,,,171,171,,,533359,4,4,4,,17400904,,18778275125,,7557767713,,26353443742,
nfa_130_2.0_0.ba,11,131,,,,,131,131,,,149041,5,5,5,,13391544,,2596771433,,963507390,,3573670367,
nfa_70_2.0_2.ba,8,71,,,,,71,71,,,6309,1,1,1,,8008685,,86020534,,1567117,,95596336,
nfa_130_2.0_9.ba,11,131,,,,,131,131,,,143056,5,5,5,,13116457,,2734452844,,923781176,,3671350477,
nfa_50_2.0_2.ba,7,51,,,,,51,51,,,1372,3,3,3,,6464238,,23246819,,817778,,30528835,
nfa_60_2.0_5.ba,7,61,,,,,61,61,,,3274,4,4,4,,6772408,,40477118,,2188345,,49437871,
nfa_140_2.0_7.ba,11,141,,,,,141,141,,,186809,5,5,5,,14308605,,4283952178,,1452819703,,5751080486,
nfa_100_2.0_5.ba,10,101,,,,,101,101,,,36262,5,5,5,,11279873,,512199559,,167227959,,690707391,
nfa_110_2.0_9.ba,10,111,,,,,111,111,,,54212,4,4,4,,11652012,,733314247,,176204416,,921170675,
nfa_80_2.0_4.ba,8,81,,,,,81,81,,,12317,5,5,5,,8979258,,150650943,,17802865,,177433066,
nfa_60_2.0_4.ba,7,61,,,,,61,61,,,3582,5,5,5,,7028871,,42860981,,2682026,,52571878,
nfa_200_2.0_4.ba,14,201,,,,,201,201,,,1207421,8,8,8,,26378193,,109337886942,,71561115253,,180925380388,
nfa_220_2.0_2.ba,ERR
nfa_80_2.0_5.ba,8,81,,,,,81,81,,,11754,5,5,5,,9763731,,158125812,,13490757,,181380300,
nfa_70_2.0_4.ba,8,71,,,,,71,71,,,7229,1,1,1,,8207592,,97154014,,2257538,,107619144,
nfa_100_2.0_4.ba,10,101,,,,,101,101,,,33944,4,4,4,,11108030,,481820677,,106930135,,599858842,
nfa_140_2.0_3.ba,11,141,,,,,141,141,,,200509,5,5,5,,13618167,,5500278139,,1660071059,,7173967365,
nfa_210_2.0_4.ba,14,211,,,,,211,211,,,1491499,8,8,8,,22165201,,106561685052,,127616603127,,234200453380,
nfa_30_2.0_6.ba,5,31,,,,,31,31,,,203,1,1,1,,4260387,,10376821,,112790,,14749998,
nfa_190_2.0_4.ba,13,191,,,,,191,191,,,789959,7,7,7,,19847591,,38863178870,,30549097910,,69432124371,
nfa_210_2.0_9.ba,14,211,,,,,211,211,,,1527793,7,7,7,,22694601,,94342615235,,101062370435,,195427680271,
nfa_30_2.0_0.ba,5,31,,,,,31,31,,,189,3,3,3,,4500629,,9871204,,127810,,14499643,
nfa_200_2.0_0.ba,14,201,,,,,201,201,,,1158854,6,6,6,,22954031,,73002801936,,48171544566,,121197300533,
nfa_70_2.0_3.ba,8,71,,,,,71,71,,,6939,3,3,3,,7886005,,93885555,,3991039,,105762599,
nfa_170_2.0_2.ba,13,171,,,,,171,171,,,477271,4,4,4,,16878761,,15594613412,,6778892491,,22390384664,
nfa_110_2.0_1.ba,10,111,,,,,111,111,,,64481,4,4,4,,11480655,,907933619,,226931562,,1146345836,
nfa_150_2.0_1.ba,12,151,,,,,151,151,,,276488,4,4,4,,14466224,,5971610036,,2374000926,,8360077186,
nfa_160_2.0_2.ba,12,161,,,,,161,161,,,337702,6,6,6,,15633392,,10069737945,,5033462546,,15118833883,
nfa_30_2.0_4.ba,5,31,,,,,31,31,,,183,4,4,4,,4490308,,9122086,,143600,,13755994,
nfa_130_2.0_2.ba,11,131,,,,,131,131,,,142569,4,4,4,,12829225,,2705687487,,722773529,,3441290241,
nfa_120_2.0_3.ba,10,121,,,,,121,121,,,90009,7,7,7,,11989145,,1372235234,,609576671,,1993801050,
nfa_200_2.0_7.ba,14,201,,,,,201,201,,,1153807,8,8,8,,23668233,,62086051078,,71833514523,,133943233834,
nfa_240_2.0_1.ba,ERR
nfa_120_2.0_9.ba,10,121,,,,,121,121,,,93944,4,4,4,,12223905,,1909124691,,397570374,,2318918970,
nfa_20_2.0_9.ba,4,21,,,,,21,21,,,60,3,3,3,,3644869,,6785767,,141480,,10572116,
nfa_140_2.0_6.ba,11,141,,,,,141,141,,,181324,5,5,5,,14248835,,4836409321,,1340750888,,6191409044,
nfa_130_2.0_8.ba,11,131,,,,,131,131,,,135600,1,1,1,,13410406,,2775115437,,184063554,,2972589397,
nfa_200_2.0_2.ba,14,201,,,,,201,201,,,1076193,6,6,6,,26881249,,70235659988,,44789998515,,115052539752,
nfa_140_2.0_5.ba,11,141,,,,,141,141,,,187191,5,5,5,,15741217,,3956221144,,1597780502,,5569742863,
nfa_90_2.0_7.ba,9,91,,,,,91,91,,,16638,4,4,4,,9684568,,237080221,,23436336,,270201125,
nfa_40_2.0_7.ba,6,41,,,,,41,41,,,506,1,1,1,,5894419,,14319247,,142900,,20356566,
nfa_110_2.0_2.ba,10,111,,,,,111,111,,,59487,4,4,4,,11536008,,1062731006,,212869148,,1287136162,
nfa_50_2.0_1.ba,7,51,,,,,51,51,,,1470,3,3,3,,6540119,,23703095,,781840,,31025054,
nfa_30_2.0_8.ba,5,31,,,,,31,31,,,202,3,3,3,,4505029,,9540428,,136720,,14182177,
nfa_220_2.0_9.ba,ERR
nfa_40_2.0_9.ba,6,41,,,,,41,41,,,516,3,3,3,,5610229,,14234147,,320930,,20165306,
nfa_190_2.0_2.ba,13,191,,,,,191,191,,,803296,5,5,5,,18748014,,48217558225,,29769128243,,78005434482,
nfa_190_2.0_3.ba,13,191,,,,,191,191,,,794470,6,5,5,,21357045,,46599863923,,20875032905,,67496253873,
nfa_150_2.0_7.ba,12,151,,,,,151,151,,,275474,6,6,6,,15892957,,7025416420,,3490656300,,10531965677,
nfa_90_2.0_2.ba,9,91,,,,,91,91,,,19674,5,5,5,,9996229,,247980965,,34881935,,292859129,
nfa_80_2.0_0.ba,8,81,,,,,81,81,,,9863,4,4,4,,8251269,,130043617,,8584319,,146879205,
nfa_180_2.0_5.ba,13,181,,,,,181,181,,,677577,7,7,7,,19421128,,32817458607,,20618174075,,53455053810,
nfa_180_2.0_2.ba,13,181,,,,,181,181,,,632626,8,8,8,,17512369,,31384557965,,21354697871,,52756768205,
nfa_30_2.0_2.ba,5,31,,,,,31,31,,,250,1,1,1,,4473200,,10289480,,114029,,14876709,
nfa_60_2.0_3.ba,7,61,,,,,61,61,,,3175,3,3,3,,6951320,,44155909,,2366270,,53473499,
nfa_140_2.0_4.ba,11,141,,,,,141,141,,,206841,4,4,4,,13764830,,4622226706,,1508448274,,6144439810,
nfa_140_2.0_9.ba,11,141,,,,,141,141,,,178467,3,3,3,,14126230,,5169881947,,834942729,,6018950906,
nfa_250_2.0_8.ba,15,251,,,,,251,251,,,,,,,,30414159,,,,,,30414159,TO
nfa_300_2.0_9.ba,17,301,,,,,301,301,,,,,,,,36659830,,,,,,36659830,TO
nfa_170_2.0_1.ba,13,171,,,,,171,171,,,502903,4,4,4,,17380090,,17549498622,,7041361300,,24608240012,
nfa_210_2.0_7.ba,14,211,,,,,211,211,,,1535937,6,6,6,,27966695,,103735054359,,91298028045,,195061049099,
nfa_40_2.0_1.ba,6,41,,,,,41,41,,,510,1,1,1,,5897020,,13380770,,118370,,19396160,
nfa_260_2.0_0.ba,16,261,,,,,261,261,,,,,,,,30196089,,,,,,30196089,TO
nfa_200_2.0_9.ba,14,201,,,,,201,201,,,1155562,5,5,5,,28497807,,78879789903,,42719777485,,121628065195,
nfa_70_2.0_5.ba,8,71,,,,,71,71,,,6286,3,3,3,,8067520,,89038143,,2987260,,100092923,
nfa_290_2.0_2.ba,17,291,,,,,291,291,,,,,,,,33787413,,,,,,33787413,TO
nfa_20_2.0_4.ba,4,21,,,,,21,21,,,51,1,1,1,,3564520,,6808390,,95780,,10468690,
nfa_220_2.0_1.ba,ERR
nfa_250_2.0_3.ba,15,251,,,,,251,251,,,,,,,,32211796,,,,,,32211796,TO
nfa_80_2.0_9.ba,8,81,,,,,81,81,,,11273,7,7,7,,8119460,,141851839,,17062111,,167033410,
nfa_20_2.0_2.ba,4,21,,,,,21,21,,,45,1,1,1,,3507619,,6476170,,54560,,10038349,
nfa_150_2.0_3.ba,12,151,,,,,151,151,,,291187,5,5,5,,14516101,,6638733380,,3149775854,,9803025335,
nfa_180_2.0_7.ba,13,181,,,,,181,181,,,614738,5,5,5,,18060481,,30245602080,,12946377074,,43210039635,
nfa_260_2.0_5.ba,16,261,,,,,261,261,,,,,,,,32309913,,,,,,32309913,TO
nfa_70_2.0_0.ba,8,71,,,,,71,71,,,6589,1,1,1,,8010730,,93260690,,1697860,,102969280,
nfa_270_2.0_2.ba,16,271,,,,,271,271,,,,,,,,31285759,,,,,,31285759,TO
nfa_240_2.0_8.ba,15,241,,,,,241,241,,,,,,,,32140428,,,,,,32140428,TO
nfa_40_2.0_6.ba,6,41,,,,,41,41,,,480,5,5,5,,5608321,,13716731,,451550,,19776602,
