name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,adaptiveStep,5000,10,CCLS,171,171,172,13,9644,4,,,34570,17441391,31545769,5572674818,18023821,,,5639685799,
nfa_130_2.0_0.ba,11,131,adaptiveStep,5000,4,CCLS,131,131,132,11,6547,5,,,14885,13719248,23266415,1079841938,14383500,,,1131211101,
nfa_70_2.0_2.ba,8,71,adaptiveStep,5000,0,CCLS,71,71,72,8,6293,1,,,6293,8160915,15146819,91739097,13897158,,,128943989,
nfa_130_2.0_9.ba,11,131,adaptiveStep,5000,4,CCLS,131,131,132,11,6757,5,,,14478,13809598,23251055,1042827010,15696680,,,1095584343,
nfa_210_2.0_4.ba,14,211,adaptiveStep,5000,30,CCLS,211,211,212,14,13683,8,,,140117,24903095,35671073,52621452767,22165204,,,52704192139,
nfa_50_2.0_2.ba,7,51,adaptiveStep,5000,0,CCLS,51,51,52,7,1584,3,,,1584,7074424,12768768,26413587,9361786,,,55618565,
nfa_60_2.0_5.ba,7,61,adaptiveStep,5000,0,CCLS,61,61,62,7,3304,4,,,3304,6903035,13428378,43659197,11450178,,,75440788,
nfa_140_2.0_7.ba,11,141,adaptiveStep,5000,5,CCLS,141,141,142,11,6774,5,,,16412,13986129,25089396,1434336961,15601460,,,1489013946,
nfa_220_2.0_2.ba,14,221,adaptiveStep,5000,40,CCLS,221,221,222,14,10992,9,,,205618,30077879,38738174,110087020620,31533170,,,110187369843,
nfa_200_2.0_4.ba,14,201,adaptiveStep,5000,26,CCLS,201,201,202,14,9859,8,,,88962,29968708,38564825,31196867675,19358372,,,31284759580,
nfa_100_2.0_5.ba,10,101,adaptiveStep,5000,2,CCLS,101,101,102,10,6521,5,,,7256,11500877,18677552,396296620,14373179,,,440848228,
nfa_110_2.0_9.ba,10,111,adaptiveStep,5000,2,CCLS,111,111,112,10,6466,4,,,8709,12089357,20139093,506971350,14757349,,,553957149,
nfa_80_2.0_4.ba,8,81,adaptiveStep,5000,1,CCLS,81,81,82,8,6881,5,,,6881,8730175,16992611,188292189,14974829,,,228989804,
nfa_60_2.0_4.ba,7,61,adaptiveStep,5000,0,CCLS,61,61,62,7,3422,5,,,3422,7112384,14764970,50157401,11408807,,,83443562,
nfa_210_2.0_9.ba,14,211,adaptiveStep,5000,34,CCLS,211,211,212,14,9199,7,,,133907,28217878,36318513,55702921486,18740932,,,55786198809,
nfa_80_2.0_5.ba,8,81,adaptiveStep,5000,1,CCLS,81,81,82,8,6884,5,,,6884,8708046,16467381,185914649,14841600,,,225931676,
nfa_250_2.0_8.ba,15,251,adaptiveStep,5000,78,CCLS,251,251,252,15,11416,8,,,438530,34673591,43805117,324399924811,22433606,,,324500837125,
nfa_70_2.0_4.ba,8,71,adaptiveStep,5000,0,CCLS,71,71,72,8,6012,1,,,6012,8460923,16799144,88753686,14058004,,,128071757,
nfa_100_2.0_4.ba,10,101,adaptiveStep,5000,2,CCLS,101,101,102,10,6485,4,,,7273,11650834,19440375,397053335,15392015,,,443536559,
nfa_140_2.0_3.ba,11,141,adaptiveStep,5000,5,CCLS,141,141,142,11,7904,5,,,16344,13670554,25270617,1428950628,15496455,,,1483388254,
nfa_190_2.0_4.ba,13,191,adaptiveStep,5000,17,CCLS,191,191,192,13,15528,7,,,70660,18715536,33036609,15621673654,21910737,,,15695336536,
nfa_30_2.0_6.ba,5,31,adaptiveStep,5000,0,CCLS,31,31,32,5,229,1,,,229,4875632,11430154,10427773,5863512,,,32597071,
nfa_200_2.0_0.ba,14,201,adaptiveStep,5000,23,CCLS,201,201,202,14,11664,6,,,80064,29988069,38687282,26111900148,20331476,,,26200906975,
nfa_30_2.0_0.ba,5,31,adaptiveStep,5000,0,CCLS,31,31,32,5,219,3,,,219,4810611,11266304,10230123,5607762,,,31914800,
nfa_240_2.0_1.ba,15,241,adaptiveStep,5000,62,CCLS,241,241,242,15,12382,5,,,326695,34838752,42338907,225788803837,23443398,,,225889424894,
nfa_70_2.0_3.ba,8,71,adaptiveStep,5000,0,CCLS,71,71,72,8,6359,3,,,6359,8340432,15721676,93017450,14419135,,,131498693,
