name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,adaptiveStep,5000,10,CCL,171,171,,,9644,4,,,34570,17914043,,5312099261,17478033,,,5347491337,
nfa_130_2.0_0.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6547,5,,,14885,13784847,,1094890492,15521320,,,1124196659,
nfa_70_2.0_2.ba,8,71,adaptiveStep,5000,0,CCL,71,71,,,6293,1,,,6293,8812351,,87929630,13311597,,,110053578,
nfa_130_2.0_9.ba,11,131,adaptiveStep,5000,4,CCL,131,131,,,6757,5,,,14478,13411837,,1046037444,15210799,,,1074660080,
nfa_50_2.0_2.ba,7,51,adaptiveStep,5000,0,CCL,51,51,,,1584,3,,,1584,6644328,,25242871,8450151,,,40337350,
nfa_60_2.0_5.ba,7,61,adaptiveStep,5000,0,CCL,61,61,,,3304,4,,,3304,7452460,,46202698,10300613,,,63955771,
nfa_200_2.0_4.ba,14,201,adaptiveStep,5000,26,CCL,201,201,,,9859,8,,,88962,28945586,,33914725444,26591142,,,33970262172,
nfa_140_2.0_7.ba,11,141,adaptiveStep,5000,5,CCL,141,141,,,6774,5,,,16412,14449887,,1445234570,15137288,,,1474821745,
nfa_210_2.0_4.ba,14,211,adaptiveStep,5000,30,CCL,211,211,,,13683,8,,,140117,31087090,,58506158682,30404976,,,58567650748,
nfa_220_2.0_2.ba,14,221,adaptiveStep,5000,40,CCL,221,221,,,10992,9,,,205618,24243801,,119120235049,24974890,,,119169453740,
nfa_100_2.0_5.ba,10,101,adaptiveStep,5000,2,CCL,101,101,,,6521,5,,,7256,12251174,,454330192,19499854,,,486081220,
nfa_110_2.0_9.ba,10,111,adaptiveStep,5000,2,CCL,111,111,,,6466,4,,,8709,12197495,,517313617,15868259,,,545379371,
nfa_80_2.0_4.ba,8,81,adaptiveStep,5000,1,CCL,81,81,,,6881,5,,,6881,8631420,,184733228,16619949,,,209984597,
nfa_60_2.0_4.ba,7,61,adaptiveStep,5000,0,CCL,61,61,,,3422,5,,,3422,7183168,,46554685,11554593,,,65292446,
nfa_210_2.0_9.ba,14,211,adaptiveStep,5000,34,CCL,211,211,,,9199,7,,,133907,29233635,,62509089363,26766191,,,62565089189,
nfa_80_2.0_5.ba,8,81,adaptiveStep,5000,1,CCL,81,81,,,6884,5,,,6884,9967101,,193352091,16329359,,,219648551,
nfa_70_2.0_4.ba,8,71,adaptiveStep,5000,0,CCL,71,71,,,6012,1,,,6012,8088669,,77041036,13291905,,,98421610,
nfa_100_2.0_4.ba,10,101,adaptiveStep,5000,2,CCL,101,101,,,6485,4,,,7273,11201733,,417420755,14941317,,,443563805,
nfa_140_2.0_3.ba,11,141,adaptiveStep,5000,5,CCL,141,141,,,7904,5,,,16344,14247605,,1528668113,16035828,,,1558951546,
nfa_190_2.0_4.ba,13,191,adaptiveStep,5000,17,CCL,191,191,,,15528,7,,,70660,19120112,,16081351168,21925514,,,16122396794,
nfa_30_2.0_6.ba,5,31,adaptiveStep,5000,0,CCL,31,31,,,229,1,,,229,4611285,,10428432,5312856,,,20352573,
nfa_250_2.0_8.ba,15,251,adaptiveStep,5000,78,CCL,251,251,,,11416,8,,,438530,33797733,,338018568425,20331953,,,338072698111,
nfa_200_2.0_0.ba,14,201,adaptiveStep,5000,23,CCL,201,201,,,11664,6,,,80064,28472242,,26297890428,21018543,,,26347381213,
nfa_30_2.0_0.ba,5,31,adaptiveStep,5000,0,CCL,31,31,,,219,3,,,219,4548505,,10842972,5291746,,,20683223,
nfa_200_2.0_7.ba,14,201,adaptiveStep,5000,27,CCL,201,201,,,11983,8,,,95584,25839388,,34162220942,21080203,,,34209140533,
nfa_70_2.0_3.ba,8,71,adaptiveStep,5000,0,CCL,71,71,,,6359,3,,,6359,8624200,,96793005,16746969,,,122164174,
nfa_170_2.0_2.ba,13,171,adaptiveStep,5000,10,CCL,171,171,,,9687,4,,,35007,17248739,,4749444235,15833787,,,4782526761,
nfa_110_2.0_1.ba,10,111,adaptiveStep,5000,2,CCL,111,111,,,6495,4,,,9847,11897673,,534808002,15054346,,,561760021,
nfa_150_2.0_1.ba,12,151,adaptiveStep,5000,6,CCL,151,151,,,8197,4,,,23227,15270097,,2226217128,24073936,,,2265561161,
nfa_160_2.0_2.ba,12,161,adaptiveStep,5000,8,CCL,161,161,,,10434,6,,,26366,16162207,,3329139552,17256009,,,3362557768,
