name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_170_2.0_5.ba,13,171,,,,,171,171,172,,485194,4,,,,25077809,32113309,14384558959,127506755,,,14569256832,
nfa_130_2.0_0.ba,11,131,,,,,131,131,132,,150306,5,,,,14078100,24061730,2544961679,58153508,,,2641255017,
nfa_70_2.0_2.ba,8,71,,,,,71,71,72,,6293,1,,,,8687940,15845769,92778077,14075899,,,131387685,
nfa_130_2.0_9.ba,11,131,,,,,131,131,132,,141992,5,,,,14325480,23913329,2414149405,66903538,,,2519291752,
nfa_50_2.0_2.ba,7,51,,,,,51,51,52,,1584,3,,,,7154710,13442930,26804570,9106379,,,56508589,
nfa_210_2.0_4.ba,14,211,,,,,211,211,212,,1507354,8,,,,26841119,36693849,77847440163,390218538,,,78301193669,
nfa_60_2.0_5.ba,7,61,,,,,61,61,62,,3304,4,,,,7077880,13872570,47952749,11375279,,,80278478,
nfa_140_2.0_7.ba,11,141,,,,,141,141,142,,190815,5,,,,14537669,26067540,3829823880,85461197,,,3955890286,
nfa_220_2.0_2.ba,14,221,,,,,221,221,222,,2171880,9,,,,22797769,39024469,149415038761,550203954,,,150027064953,
nfa_200_2.0_4.ba,14,201,,,,,201,201,202,,1103997,8,,,,23809919,35902629,53222314453,298241621,,,53580268622,
nfa_100_2.0_5.ba,10,101,,,,,101,101,102,,32676,5,,,,11371330,19434879,473055345,26310910,,,530172464,
nfa_110_2.0_9.ba,10,111,,,,,111,111,112,,55888,4,,,,11990519,20383010,800657846,36257019,,,869288394,
nfa_80_2.0_4.ba,8,81,,,,,81,81,82,,11094,5,,,,9117400,16363499,140801515,16581600,,,182864014,
nfa_60_2.0_4.ba,7,61,,,,,61,61,62,,3422,5,,,,7286589,14131140,49154069,11304449,,,81876247,
nfa_210_2.0_9.ba,14,211,,,,,211,211,212,,1538359,7,,,,25191169,36346139,81474537991,380690420,,,81916765719,
nfa_80_2.0_5.ba,8,81,,,,,81,81,82,,10541,5,,,,8938690,16508150,135522826,15826730,,,176796396,
