name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
nfa_60_2.0_5.ba,7,61,,,,,61,61,,,3304,4,,,,8608489,,47320529,40152071,,,96081089,
nfa_50_2.0_2.ba,7,51,,,,,51,51,,,1584,3,,,,9041268,,65024726,12606327,,,86672321,
nfa_60_2.0_4.ba,7,61,,,,,61,61,,,3422,5,,,,9881178,,87134790,13772127,,,110788095,
nfa_70_2.0_2.ba,8,71,,,,,71,71,,,6293,1,,,,11686327,,150356405,19771806,,,181814538,
nfa_80_2.0_4.ba,8,81,,,,,81,81,,,11094,5,,,,11640567,,182960848,16165277,,,210766692,
nfa_100_2.0_5.ba,10,101,,,,,101,101,,,32676,5,,,,13306026,,561479962,28332113,,,603118101,
nfa_80_2.0_5.ba,8,81,,,,,81,81,,,10541,5,,,,10189318,,141340097,17105247,,,168634662,
nfa_70_2.0_4.ba,8,71,,,,,71,71,,,6012,1,,,,9074929,,85643410,13051137,,,107769476,
nfa_110_2.0_9.ba,10,111,,,,,111,111,,,55888,4,,,,15875567,,1144547438,50215098,,,1210638103,
nfa_100_2.0_4.ba,10,101,,,,,101,101,,,34209,4,,,,11777107,,568535330,28392264,,,608704701,
nfa_30_2.0_6.ba,5,31,,,,,31,31,,,229,1,,,,4524719,,10290058,5233169,,,20047946,
nfa_130_2.0_0.ba,11,131,,,,,131,131,,,150306,5,,,,44946419,,3089760293,82054031,,,3216760743,
nfa_130_2.0_9.ba,11,131,,,,,131,131,,,141992,5,,,,43969941,,3822800705,72304034,,,3939074680,
nfa_140_2.0_7.ba,11,141,,,,,141,141,,,190815,5,,,,19808705,,4658491945,75894743,,,4754195393,
nfa_30_2.0_0.ba,5,31,,,,,31,31,,,219,3,,,,4703259,,9931967,5032679,,,19667905,
nfa_140_2.0_3.ba,11,141,,,,,141,141,,,190044,5,,,,13899357,,3725284249,68141985,,,3807325591,
nfa_70_2.0_3.ba,8,71,,,,,71,71,,,6359,3,,,,8590968,,85233060,13886027,,,107710055,
nfa_150_2.0_1.ba,12,151,,,,,151,151,,,284043,4,,,,15004657,,7243855657,101294037,,,7360154351,
nfa_110_2.0_1.ba,10,111,,,,,111,111,,,60483,4,,,,11798057,,1244833519,35329272,,,1291960848,
nfa_170_2.0_5.ba,13,171,,,,,171,171,,,485194,4,,,,20769625,,17513540763,134893460,,,17669203848,
nfa_170_2.0_2.ba,13,171,,,,,171,171,,,484026,4,,,,17416377,,17907356448,125139223,,,18049912048,
nfa_30_2.0_4.ba,5,31,,,,,31,31,,,201,4,,,,5379759,,12248997,6165289,,,23794045,
nfa_130_2.0_2.ba,11,131,,,,,131,131,,,144577,4,,,,13474466,,3435972273,83876491,,,3533323230,
nfa_120_2.0_3.ba,10,121,,,,,121,121,,,93095,7,,,,12276777,,1268855698,55532198,,,1336664673,
nfa_160_2.0_2.ba,12,161,,,,,161,161,,,338126,6,,,,15661556,,13074075399,97565167,,,13187302122,
nfa_190_2.0_4.ba,13,191,,,,,191,191,,,798412,7,,,,18768555,,43925546681,209880814,,,44154196050,
nfa_200_2.0_0.ba,14,201,,,,,201,201,,,1149032,6,,,,29081354,,68385133629,294882327,,,68709097310,
nfa_120_2.0_9.ba,10,121,,,,,121,121,,,92645,4,,,,12503247,,2269342467,55539448,,,2337385162,
nfa_20_2.0_9.ba,4,21,,,,,21,21,,,54,3,,,,3695929,,6501099,4453809,,,14650837,
nfa_200_2.0_4.ba,14,201,,,,,201,201,,,1103997,8,,,,48229238,,78274514713,306044915,,,78628788866,
nfa_140_2.0_6.ba,11,141,,,,,141,141,,,187506,5,,,,14271397,,4193551611,78265643,,,4286088651,
nfa_130_2.0_8.ba,11,131,,,,,131,131,,,142167,1,,,,13509377,,3561634148,61078787,,,3636222312,
nfa_200_2.0_2.ba,14,201,,,,,201,201,,,1117346,6,,,,25674274,,60655404897,297001299,,,60978080470,
