name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
tribfaceeq.ba,8,10452,adaptiveStep,5000,0,CCLS,10452,10124,10108,,321,58,64,64,321,222790245,1750963556,397891357,,1716810,,2373361968,
testg0110.ba,8,12512,adaptiveStep,5000,4,CCLS,12512,12043,12009,,22463,153,83,83,35626,494448212,2893604476,231530657512,,2240946941,,237159657141,
triboddpal.ba,4,3136,adaptiveStep,5000,0,CCLS,3136,2956,2627,,1100,42,47,47,1100,58342627,727431635,289892963,,2452090,,1078119315,
paper_pseudo2.ba,24,293,adaptiveStep,5000,1,CCLS,293,293,283,,6667,1788,778,778,8187,35141890,77496992,576672083,,1008032076,,1697343041,
ost3_non_redundant.ba,256,2525,adaptiveStep,5000,4,CCLS,2525,2246,2208,,15472,863,548,548,29292,421304469,775613425,19173242710,,350210018241,,370580178845,
tribmirror.ba,8,14001,adaptiveStep,5000,1,CCLS,14001,13394,12417,,11022,125,175,175,11022,441435594,4116423517,25553774831,,462072868,,30573706810,
agrees.ba,72,152,adaptiveStep,5000,0,CCLS,152,152,119,,1339,87,122,122,1339,51655608,72473374,131068385,,60270350,,315467717,
threepseudomw.ba,27,64,adaptiveStep,5000,0,CCLS,64,64,65,,2504,108,144,144,2504,16319835,24542659,87839401,,69726735,,198428630,
thm5.ba,2,1790,adaptiveStep,5000,0,CCLS,1790,369,336,,360,14,12,12,360,19521707,44659696,16802366,,440780,,81424549,
noabelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCLS,4651,4532,63,,28,21,19,19,28,57710590,35794088761,8897213,,398370,,35861094934,
abelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCLS,4651,4532,107,,44,26,21,21,44,58497961,44067940443,9078433,,604740,,44136121577,
z5.ba,625,199,adaptiveStep,5000,4,CCLS,199,199,158,,6139,264,169,169,10275,379333080,874434913,20945922752,,36570914702,,58770605447,
triplevtm.ba,8,128,adaptiveStep,5000,0,CCLS,128,128,129,,2453,144,179,179,2453,10606954,19944248,61486074,,46522948,,138560224,
trib4.ba,4,24903,adaptiveStep,5000,0,CCLS,24903,22295,22253,,12815,13,13,13,12815,468624524,5447231831,59050448855,,13338415,,64979643625,
coef_rev.ba,625,313,adaptiveStep,5000,2,CCLS,313,313,313,,6678,169,264,264,8203,614105824,1090561902,29763409343,,28772963746,,60241040815,
testg0101.ba,8,12512,adaptiveStep,5000,4,CCLS,12512,12043,12009,,22463,153,83,83,35626,516085373,3349625346,227402748952,,2791688294,,234060147965,
