name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
tribfaceeq.ba,8,10452,adaptiveStep,5000,1,CCL,10452,10124,,,11959,58,64,64,11959,270144453,,9391874888,,351291475,,10013310816,
testg0110.ba,8,12512,adaptiveStep,5000,3,CCL,12512,12043,,,25477,153,83,83,32158,449212128,,138337180342,,740132374,,139526524844,
triboddpal.ba,4,3136,adaptiveStep,5000,0,CCL,3136,2956,,,1397,42,47,47,1397,57133384,,205420163,,3099429,,265652976,
paper_pseudo2.ba,24,293,adaptiveStep,5000,2,CCL,293,293,,,7606,1788,778,778,8463,35181391,,651001859,,10930678156,,11616861406,
ost3_non_redundant.ba,256,2525,adaptiveStep,5000,4,CCL,2525,2246,,,13485,863,548,548,20024,425627030,,19143778662,,143757364001,,163326769693,
tribmirror.ba,8,14001,adaptiveStep,5000,1,CCL,14001,13394,,,10299,125,175,175,10299,432383066,,17867047940,,239148935,,18538579941,
agrees.ba,72,152,adaptiveStep,5000,0,CCL,152,152,,,1338,87,122,122,1338,51963238,,157173004,,59245417,,268381659,
threepseudomw.ba,27,64,adaptiveStep,5000,0,CCL,64,64,,,2503,108,144,144,2503,17303606,,86706402,,72032815,,176042823,
thm5.ba,2,1790,adaptiveStep,5000,0,CCL,1790,369,,,496,14,12,12,496,20078486,,13824597,,462250,,34365333,
noabelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCL,4651,4532,,,45,21,19,19,45,57485708,,22677485,,324980,,80488173,
abelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCL,4651,4532,,,54,26,21,21,54,58387508,,24465235,,475150,,83327893,
z5.ba,625,199,adaptiveStep,5000,4,CCL,199,199,,,6139,264,169,169,10275,368465074,,24050719634,,78714404789,,103133589497,
trib4.ba,4,24903,adaptiveStep,5000,1,CCL,24903,22295,,,14462,13,13,13,14462,544381215,,34352345432,,84041056,,34980767703,
triplevtm.ba,8,128,adaptiveStep,5000,0,CCL,128,128,,,2518,144,179,179,2518,11454749,,61926790,,47183823,,120565362,
coef_rev.ba,625,313,adaptiveStep,5000,2,CCL,313,313,,,6677,169,264,264,8202,494004994,,27301023391,,27534934769,,55329963154,
testg0101.ba,8,12512,adaptiveStep,5000,3,CCL,12512,12043,,,25477,153,83,83,32158,465656886,,139157574705,,727644132,,140350875723,
