name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
tribfaceeq.ba,8,10452,,,,,10452,10124,10108,,321,58,64,64,,227588388,1921272922,395557163,,1607541,,2546026014,
ost3_non_redundant.ba,256,2525,,,,,2525,2246,2208,,45223,863,548,548,,432155977,843586665,23161985256,,44186566611,,68624294509,
testg0110.ba,8,12512,,,,,12512,12043,12009,,187261,153,83,83,,457199225,3188848942,679485060467,,15216664866,,698347773500,
triboddpal.ba,4,3136,,,,,3136,2956,2627,,1100,42,47,47,,57632756,770717844,299916068,,3170847,,1131437515,
paper_pseudo2.ba,24,293,,,,,293,293,283,,13268,1788,778,778,,34450627,77537057,499509292,,2954743901,,3566240877,
tribmirror.ba,8,14001,,,,,14001,13394,12417,,20572,125,175,175,,477479572,4775785813,24037123746,,623741676,,29914130807,
agrees.ba,72,152,,,,,152,152,119,,1339,87,122,122,,45434016,71505605,132902759,,58874205,,308716585,
r3ef.ba,ERR
threepseudomw.ba,27,64,,,,,64,64,65,,2504,108,144,144,,16398680,24295770,87469380,,71554440,,199718270,
thm5.ba,2,1790,,,,,1790,369,336,,360,14,12,12,,20082279,44154709,17074680,,474690,,81786358,
noabelcubeinf.ba,2,4651,,,,,4651,4532,63,,28,21,19,19,,59592019,37065451881,7926720,,397050,,37133367670,
abelcubeinf.ba,2,4651,,,,,4651,4532,107,,44,26,21,21,,57865340,44946602999,8400480,,463030,,45013331849,
z5.ba,625,199,,,,,199,199,158,,46982,264,169,169,,369429525,917823414,47603212015,,40437696743,,89328161697,
trib4.ba,4,24903,,,,,24903,22295,22253,,12815,13,13,13,,564672790,5685576294,52921633565,,14022191,,59185904840,
triplevtm.ba,8,128,,,,,128,128,129,,2453,144,179,179,,10834720,19903572,65829405,,46212343,,142780040,
coef_rev.ba,625,313,,,,,313,313,313,,21672,169,264,264,,633537446,1017452724,36815669110,,30732038430,,69198697710,
rudinpseudo.ba,8,1024,,,,,1024,1024,1025,,24273,234,241,241,,55765200,270020472,1346671214,,1643646484,,3316103370,
pisotlargepower.ba,4,10859,,,,,10859,10256,9665,,4215,558,288,288,,173230226,2624099759,2613150023,,52464996,,5462945004,
triple.ba,8,64,,,,,64,64,65,,7589,420,521,521,,7085040,14372737,85125406,,568437172,,675020355,
wleqfac.ba,343,512,,,,,512,512,513,,4162,4141,164,164,,736423239,1653315770,6085120117,,909817200,,9384676326,
testg0101.ba,8,12512,,,,,12512,12043,12009,,187261,153,83,83,,486586874,2952543017,714134026186,,15892026006,,733465182083,
prcrep3.ba,32,900,,,,,900,900,901,,2870,2454,1308,1308,,82213785,284709153,667153417,,622580510,,1656656865,
thm4test.ba,4,13065,,,,,13065,13065,11048,,,,,,,329618584,3236904984,,,,,3566523568,TO
test0010.ba,8,11631,,,,,11631,10427,10428,,,,,,,405455072,1993726870,,,,,2399181942,TO
prcrep2.ba,32,1160,,,,,1160,1160,1161,,5152,3642,1863,1863,,82791316,369442183,1251171995,,1787183237,,3490588731,
threepseudovtm.ba,8,128,,,,,128,128,129,,2453,144,179,179,,11205968,19365323,60893592,,45482101,,136946984,
test0110.ba,8,11631,,,,,11631,10427,10427,,,,,,,408097514,1946746825,,,,,2354844339,TO
ost2_test.ba,729,12478,,,,,12478,10682,75,,66,65,65,65,,7998228047,182200229909,51607165,,16945911,,190267011032,
test0011.ba,8,11631,,,,,11631,10427,10428,,,,,,,397611975,1996774538,,,,,2394386513,TO
testg0011.ba,8,12512,,,,,12512,12043,12009,,187261,153,83,83,,518438069,2957190463,708038385528,,16034001959,,727548016019,
test0001.ba,8,11631,,,,,11631,10427,10428,,,,,,,405150974,1669726235,,,,,2074877209,TO
pisotfaceeq.ba,8,37095,,,,,37095,36261,31849,,73167,7484,1684,1684,,1182185685,13291995117,654296324335,,46244669054,,715015174191,
crep_1.ba,32,280,,,,,280,280,281,,5498,3893,714,714,,39591703,56281428,401397416,,1142796472,,1640067019,
gamard2factoreq.ba,8,9195,,,,,9195,9068,7841,,,,,,,403230879,1572700774,,,,,1975931653,TO
toeplitz.ba,1323,100,,,,,100,100,101,,1509,629,432,432,,230221340,420627145,1277774920,,4734818054,,6663441459,
test0110b.ba,8,11631,,,,,11631,10427,10428,,,,,,,394574172,2196901847,,,,,2591476019,TO
test0011b.ba,8,11631,,,,,11631,10427,10428,,,,,,,408319735,1968046640,,,,,2376366375,TO
crep_2.ba,32,186,,,,,186,186,187,,2738,1662,325,325,,31154147,44842356,179289174,,214655150,,469940827,
tribsquarelen.ba,4,4611,,,,,4611,4348,4343,,1248,26,24,24,,67655834,1425287692,485500946,,1634730,,1980079202,
thm2test.ba,4,16791,,,,,16791,16791,12289,,,,,,,540001766,3736236442,,,,,4276238208,TO
triplemw.ba,27,64,,,,,64,64,65,,2504,108,144,144,,17191848,26317489,87404004,,69684416,,200597757,
testf0110.ba,8,12140,,,,,12140,10952,10943,,,,,,,490644812,2097307936,,,,,2587952748,TO
testshur.ba,4,48257,,,,,48257,47383,43208,,,,,,,1773143730,22384517792,,,,,24157661522,TO
res.ba,200,5312,,,,,5312,5312,5313,,33751,2840,,,,3195345781,7370067823,847929099020,,,,858494512624,TO
tribpseudo3.ba,8,60317,,,,,60317,58366,58357,,,,,,,2812534825,19054572305,,,,,21867107130,TO
test0010b.ba,8,11631,,,,,11631,10427,10428,,,,,,,394314095,2520523689,,,,,2914837784,TO
test0101b.ba,8,11631,,,,,11631,10427,10428,,,,,,,394620110,1892775987,,,,,2287396097,TO
testf0101.ba,8,12140,,,,,12140,10952,10943,,,,,,,443833155,1986468612,,,,,2430301767,TO
och3.ba,27,2025,,,,,2025,1926,1927,,,,,,,158259710,623526367,,,,,781786077,TO
test0101.ba,8,11631,,,,,11631,10427,10427,,,,,,,395357686,1999658765,,,,,2395016451,TO
testf0010.ba,8,12140,,,,,12140,10952,10943,,,,,,,429311749,2062116855,,,,,2491428604,TO
jaef.ba,8,55455,,,,,55455,42095,41361,,,,,,,1432522153,6050293317,,,,,7482815470,TO
