name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
tribfaceeq.ba,8,10452,,,,,10452,10124,,,19399,58,64,64,,277979647,,11156826639,,154938845,,11589745131,
ost3_non_redundant.ba,256,2525,,,,,2525,2246,,,48701,863,548,548,,431243638,,20797468555,,54511737370,,75740449563,
triboddpal.ba,4,3136,,,,,3136,2956,,,1397,42,47,47,,60369679,,223933784,,2545221,,286848684,
paper_pseudo2.ba,24,293,,,,,293,293,,,14577,1788,778,778,,36171743,,488131862,,4217317800,,4741621405,
tribmirror.ba,8,14001,,,,,14001,13394,,,23641,125,175,175,,438221025,,22498433904,,803986381,,23740641310,
agrees.ba,72,152,,,,,152,152,,,1338,87,122,122,,51548661,,161535717,,56688674,,269773052,
r3ef.ba,ERR
threepseudomw.ba,27,64,,,,,64,64,,,2503,108,144,144,,15613059,,80163185,,69584199,,165360443,
thm5.ba,2,1790,,,,,1790,369,,,496,14,12,12,,21745572,,12683877,,238980,,34668429,
noabelcubeinf.ba,2,4651,,,,,4651,4532,,,45,21,19,19,,59930314,,22988072,,168050,,83086436,
abelcubeinf.ba,2,4651,,,,,4651,4532,,,54,26,21,21,,58457093,,24303184,,180911,,82941188,
z5.ba,625,199,,,,,199,199,,,46982,264,169,169,,369416257,,56937539952,,39877481966,,97184438175,
testg0110.ba,8,12512,,,,,12512,12043,,,192074,153,83,83,,447762062,,563923691062,,16408161943,,580779615067,
trib4.ba,4,24903,,,,,24903,22295,,,14714,13,13,13,,501204283,,38216216523,,15626008,,38733046814,
triplevtm.ba,8,128,,,,,128,128,,,2518,144,179,179,,10136285,,57079761,,46300245,,113516291,
coef_rev.ba,625,313,,,,,313,313,,,21671,169,264,264,,637610782,,40290788082,,31400909306,,72329308170,
rudinpseudo.ba,8,1024,,,,,1024,1024,,,24273,234,241,241,,55754339,,1323994938,,1518484337,,2898233614,
wleqfac.ba,343,512,,,,,512,512,,,4161,4141,164,164,,667263671,,5118784317,,771416715,,6557464703,
