name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
thm4test.ba,4,13065,adaptiveStep,5000,4,CCLS,13065,13065,11048,9101,9241,79,,,20555,284827073,2980117884,8539437827,13406186,,,11817788970,
test0010.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,44440,1390,,,49915,443596641,1180627323,21590275594,30187205,,,23244686763,
test0110.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10427,18565,44896,1399,,,50373,480856140,1401807361,24262063676,30372275,,,26175099452,
ost3_non_redundant.ba,256,2525,adaptiveStep,5000,1,CCLS,2525,2247,2216,48690,7595,548,,,12445,445104130,664342681,2786143248,98544922,,,3994134981,
test0011.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,47988,1397,,,53469,493513063,1354263038,21917953161,34230809,,,23799960071,
paper_pseudo2.ba,24,293,adaptiveStep,5000,0,CCLS,293,293,283,5955,1259,778,,,1259,37298453,85254676,54817483,22647745,,,200018357,
triboddpal.ba,4,3136,adaptiveStep,5000,13,CCLS,3136,2956,2633,60725,149863,47,,,186937,77808188,687430119,14766777554,62253300,,,15594269161,
test0001.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,47606,1395,,,54588,388056330,1229940963,28368853009,33796188,,,30020646490,
agrees.ba,72,152,adaptiveStep,5000,2,CCLS,152,152,119,460,7160,122,,,8576,56251683,69955189,603149767,30278034,,,759634673,
threepseudomw.ba,27,64,adaptiveStep,5000,13,CCLS,64,64,65,0,11579,144,,,21458,17489709,24558167,4175959534,26594840,,,4244602250,
thm5.ba,2,1790,adaptiveStep,5000,1,CCLS,1790,369,339,2919,18440,12,,,18440,21250944,41394745,473399463,12953575,,,548998727,
noabelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCLS,4651,4532,91,1424,19,19,,,19,76545595,36620417458,7226398,4681205,,,36708870656,
z5.ba,625,199,adaptiveStep,5000,0,CCLS,199,199,159,280,1293,169,,,1293,478586104,721995471,911163777,69791526,,,2181536878,
abelcubeinf.ba,2,4651,adaptiveStep,5000,0,CCLS,4651,4532,122,3573,22,21,,,22,79210957,43803613748,7458798,4741654,,,43895025157,
gamard2factoreq.ba,8,9195,adaptiveStep,5000,5,CCLS,9195,9068,7841,4886,22590,8072,,,33957,422717851,1456452480,10235324583,36573360,,,12151068274,
triplevtm.ba,8,128,adaptiveStep,5000,53,CCLS,128,128,129,8,39480,179,,,82368,10761371,19617952,84280489208,29824642,,,84340693173,
test0110b.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,45373,1420,,,50914,448217835,1184958650,21922329479,31614230,,,23587120194,
test0011b.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,45373,1420,,,50914,474799748,1158351365,22598043682,31207482,,,24262402277,
ost2_test.ba,729,12478,adaptiveStep,5000,0,CCLS,12478,10644,196,4718,65,65,,,65,7729511159,202569911264,44264098,30429412,,,210374115933,
wleqfac.ba,343,512,adaptiveStep,5000,8,CCLS,512,512,513,256,10878,164,,,13685,676615734,987918256,43684698010,89727527,,,45438959527,
rudinpseudo.ba,8,1024,adaptiveStep,5000,37,CCLS,1024,1024,1025,0,47755,241,,,278012,57635423,208479618,642123891507,45891469,,,642435898017,
triple.ba,8,64,adaptiveStep,5000,10,CCLS,64,64,65,0,35403,521,,,44948,6998303,14706876,2442060859,24913511,,,2488679549,
thm2test.ba,4,16791,adaptiveStep,5000,5,CCLS,16791,16791,12289,12378,9176,84,,,27150,502152975,3486811889,13726322661,14693655,,,17729981180,
pisotlargepower.ba,4,10859,adaptiveStep,5000,17,CCLS,10859,10256,9688,65529,533505,288,,,692629,202980894,1715547188,67576349241,63919608,,,69558796931,
prcrep3.ba,32,900,adaptiveStep,5000,2,CCLS,900,900,901,6240,7229,1308,,,7704,71532541,216415716,907664401,32690324,,,1228302982,
testf0110.ba,8,12140,adaptiveStep,5000,20,CCLS,12140,10952,10943,5330,92659,1938,,,103633,506075510,1294559952,111214176450,50378654,,,113065190566,
testshur.ba,4,48257,adaptiveStep,5000,13,CCLS,48257,47391,43317,12474,49523,11198,,,72182,2172612764,24056443154,136598983557,40635360,,,162868674835,
prcrep2.ba,32,1160,adaptiveStep,5000,3,CCLS,1160,1160,1161,16252,13682,1863,,,21852,85980953,251443195,2569278327,46717284,,,2953419759,
threepseudovtm.ba,8,128,adaptiveStep,5000,53,CCLS,128,128,129,8,39480,179,,,82368,10640225,19387690,82611525784,30719617,,,82672273316,
r3ef.ba,8,128,adaptiveStep,5000,31,CCLS,128,128,129,80,3260558,3044068,,,4935828,10775632,19557092,1843132677050,9169622377,,,1852332632151,
test0010b.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,45373,1420,,,50914,475015069,1206700635,22434813381,30980378,,,24147509463,
trib4.ba,4,24903,adaptiveStep,5000,105,CCLS,24903,22298,22253,44014,4193737,13,,,5744867,541404972,3242196975,2345109996311,272029604,,,2349165627862,
test0101b.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10428,19138,45373,1420,,,50914,480546161,1229051983,22878325442,36661922,,,24624585508,
testf0101.ba,8,12140,adaptiveStep,5000,20,CCLS,12140,10952,10943,5330,92659,1938,,,103633,537831321,1333053263,119136080074,60389432,,,121067354090,
crep_1.ba,32,280,adaptiveStep,5000,1,CCLS,280,280,281,3296,7096,714,,,7096,40522718,56288642,280561821,28891454,,,406264635,
och3.ba,27,2025,adaptiveStep,5000,33,CCLS,2025,1926,1927,450,41979,616,,,79432,204780575,618089868,205090218672,66699069,,,205979788184,
toeplitz.ba,1323,100,adaptiveStep,5000,0,CCLS,100,100,101,1839,752,432,,,752,324125616,368113011,479635596,90521605,,,1262395828,
test0101.ba,8,11631,adaptiveStep,5000,9,CCLS,11631,10427,10427,18565,46433,1392,,,51819,487951387,1416782291,23288434414,33890732,,,25227058824,
testf0010.ba,8,12140,adaptiveStep,5000,20,CCLS,12140,10952,10943,5330,92659,1938,,,103633,555840830,1280302158,109150139779,56013917,,,111042296684,
crep_2.ba,32,186,adaptiveStep,5000,1,CCLS,186,186,187,1200,7406,325,,,7406,32741644,44436331,262770618,25487121,,,365435714,
