name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
test0010.ba,8,11631,adaptiveStep,5000,73,CCL,11631,10427,,,119759,1390,,,190336,455670821,,172808758125,52260407,,,173316689353,
thm4test.ba,4,13065,adaptiveStep,5000,38,CCL,13065,13065,,,14567,79,,,84317,308914240,,247341139610,15840059,,,247665893909,
ost3_non_redundant.ba,256,2525,adaptiveStep,5000,2,CCL,2525,2247,,,7278,548,,,14985,440303786,,2512295442,106645206,,,3059244434,
test0110.ba,8,11631,adaptiveStep,5000,74,CCL,11631,10427,,,119785,1399,,,190299,477405339,,194220445653,65416929,,,194763267921,
triboddpal.ba,4,3136,adaptiveStep,5000,20,CCL,3136,2956,,,166222,47,,,197507,76758118,,10396477348,45645829,,,10518881295,
paper_pseudo2.ba,24,293,adaptiveStep,5000,11,CCL,293,293,,,22750,778,,,41677,37906899,,3155792545,52128239,,,3245827683,
test0011.ba,8,11631,adaptiveStep,5000,70,CCL,11631,10427,,,119789,1397,,,190203,439959477,,184436180822,62513589,,,184938653888,
test0001.ba,8,11631,adaptiveStep,5000,72,CCL,11631,10427,,,119782,1395,,,190172,455685400,,175853373237,63829869,,,176372888506,
threepseudomw.ba,27,64,adaptiveStep,5000,13,CCL,64,64,,,11579,144,,,21458,17803250,,3739390190,27635250,,,3784828690,
thm5.ba,2,1790,adaptiveStep,5000,2,CCL,1790,369,,,15767,12,,,16476,19537619,,507177265,12065190,,,538780074,
noabelcubeinf.ba,2,4651,adaptiveStep,5000,6,CCL,4651,4532,,,51311,19,,,68269,77110548,,14778410211,18455380,,,14873976139,
abelcubeinf.ba,2,4651,adaptiveStep,5000,6,CCL,4651,4532,,,52391,21,,,69461,76824139,,15093997201,18518450,,,15189339790,
agrees.ba,72,152,adaptiveStep,5000,128,CCL,152,152,,,20332,122,,,79682,49501179,,102779753566,69766979,,,102899021724,
gamard2factoreq.ba,8,9195,adaptiveStep,5000,22,CCL,9195,9068,,,163451,8072,,,336728,460084325,,109846961187,78244621,,,110385290133,
triplevtm.ba,8,128,adaptiveStep,5000,48,CCL,128,128,,,47462,179,,,86258,11018100,,72626366632,32732740,,,72670117472,
trib4.ba,4,24903,adaptiveStep,5000,127,CCL,24903,22298,,,4353441,13,,,5251325,524050166,,954031402080,245565414,,,954801017660,
test0110b.ba,8,11631,adaptiveStep,5000,74,CCL,11631,10427,,,118274,1420,,,186494,456032816,,202735162487,71382381,,,203262577684,
test0011b.ba,8,11631,adaptiveStep,5000,74,CCL,11631,10427,,,118274,1420,,,186494,537675989,,177949709529,67040951,,,178554426469,
r3ef.ba,8,128,adaptiveStep,5000,92,CCL,128,128,,,3480981,3044068,,,4741387,11064919,,1846544258519,9957394702,,,1856512718140,
ost2_test.ba,729,12478,adaptiveStep,5000,16,CCL,12478,10644,,,15387,65,,,125307,6622350420,,130302339910,184264923,,,137108955253,
pisotlargepower.ba,4,10859,adaptiveStep,5000,43,CCL,10859,10256,,,1091050,288,,,1309316,201753524,,78781467835,88504607,,,79071725966,
triple.ba,8,64,adaptiveStep,5000,10,CCL,64,64,,,35403,521,,,44948,7382101,,2221286966,26729602,,,2255398669,
rudinpseudo.ba,8,1024,adaptiveStep,5000,37,CCL,1024,1024,,,47755,241,,,278012,55690061,,602459453437,28542676,,,602543686174,
wleqfac.ba,343,512,adaptiveStep,5000,62,CCL,512,512,,,15804,164,,,31315,916360437,,304371165953,114555382,,,305402081772,
prcrep3.ba,32,900,adaptiveStep,5000,8,CCL,900,900,,,16263,1308,,,24561,73173161,,4777313738,39073426,,,4889560325,
testf0110.ba,8,12140,adaptiveStep,5000,91,CCL,12140,10952,,,118738,1938,,,197037,528046710,,241827908606,63598572,,,242419553888,
prcrep2.ba,32,1160,adaptiveStep,5000,32,CCL,1160,1160,,,20991,1863,,,122113,85314819,,87769572300,52863079,,,87907750198,
threepseudovtm.ba,8,128,adaptiveStep,5000,48,CCL,128,128,,,47462,179,,,86258,10869685,,70169639221,30017957,,,70210526863,
test0010b.ba,8,11631,adaptiveStep,5000,74,CCL,11631,10427,,,118274,1420,,,186494,465926221,,168770596306,52769661,,,169289292188,
thm2test.ba,4,16791,adaptiveStep,5000,75,CCL,16791,16791,,,20376,84,,,154898,511221968,,1243868707343,15302602,,,1244395231913,
testg0110.ba,8,12512,,,,CCL,12512,12043,,,,,,,,583001998,,,,,,583001998,TO
tribfaceeq.ba,8,10452,,,,CCL,10452,10124,,,,,,,,243901011,,,,,,243901011,TO
