name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
thm4test.ba,4,13065,,,,,13065,13065,11048,,260797,79,,,,362521719,3363264026,29611461332,49701862,,,33386948939,
ost3_non_redundant.ba,256,2525,,,,,2525,2247,2216,,13176,548,,,,476772610,735419948,2517278616,197670569,,,3927141743,
triboddpal.ba,4,3136,,,,,3136,2956,2633,,749605,47,,,,76872270,702687667,11995007911,179297347,,,12953865195,
paper_pseudo2.ba,24,293,,,,,293,293,283,,1259,778,,,,42462698,84701295,55261336,20918603,,,203343932,
agrees.ba,72,152,,,,,152,152,119,,16046,122,,,,60436350,76110509,464099441,67158914,,,667805214,
r3ef.ba,8,128,,,,,128,128,129,,9631850,3044068,,,,11025227,20111163,110384030631,19037830032,,,129452997053,
thm5.ba,2,1790,,,,,1790,369,339,,35280,12,,,,19637733,40694456,435369652,17763692,,,513465533,
threepseudomw.ba,27,64,,,,,64,64,65,,1705918,144,,,,16411460,23275095,31873216289,640967014,,,32553869858,
noabelcubeinf.ba,2,4651,,,,,4651,4532,91,,19,19,,,,77595990,37440291673,7580845,4765133,,,37530233641,
z5.ba,625,199,,,,,199,199,159,,1293,169,,,,562164194,735134476,757444780,72198857,,,2126942307,
abelcubeinf.ba,2,4651,,,,,4651,4532,122,,22,21,,,,79808802,45687299079,7737835,4693843,,,45779539559,
gamard2factoreq.ba,8,9195,,,,,9195,9068,7841,,1444094,8072,,,,435182271,1537598035,123063300802,272693427,,,125308774535,
triplevtm.ba,8,128,,,,,128,128,129,,32628077,179,,,,10763117,20022233,320935003256,4854743586,,,325820532192,
test0010.ba,8,11631,,,,,11631,10427,10428,,,,,,,475531710,1108081449,,,,,1583613159,TO
trib4.ba,4,24903,,,,,24903,22298,22253,,24219435,13,,,,553917909,3366279348,1592544855265,16725534560,,,1613190587082,
test0110.ba,8,11631,,,,,11631,10427,10427,,,,,,,459359505,1671916766,,,,,2131276271,TO
ost2_test.ba,729,12478,,,,,12478,10644,196,,65,65,,,,6507001299,194897779295,40377623,29065181,,,201474223398,
rudinpseudo.ba,8,1024,,,,,1024,1024,1025,,23674378,241,,,,55813454,192905809,573336127575,4378630079,,,577963476917,
triple.ba,8,64,,,,,64,64,65,,2952594,521,,,,7934493,14854685,15344727188,503366750,,,15870883116,
thm2test.ba,4,16791,,,,,16791,16791,12289,,346515,84,,,,535154401,3552589043,57732512036,79922939,,,61900178419,
pisotlargepower.ba,4,10859,,,,,10859,10256,9688,,4944367,288,,,,212069385,1961069078,194166230342,2537748322,,,198877117127,
prcrep3.ba,32,900,,,,,900,900,901,,118840,1308,,,,73626888,245446731,3409131517,115120232,,,3843325368,
testg0110.ba,8,12512,,,,,12512,12043,12009,,,,,,,563868241,1937031548,,,,,2500899789,TO
tribfaceeq.ba,8,10452,,,,,10452,10124,10110,,,,,,,328552724,1302756272,,,,,1631308996,TO
prcrep2.ba,32,1160,,,,,1160,1160,1161,,111584,1863,,,,82452164,264962679,5122526967,117556385,,,5587498195,
test0011.ba,8,11631,,,,,11631,10427,10428,,,,,,,488039587,1230306799,,,,,1718346386,TO
tribmirror.ba,8,14001,,,,,14001,13394,12465,,,,,,,501774696,3103571775,,,,,3605346471,TO
test0001.ba,8,11631,,,,,11631,10427,10428,,,,,,,467311733,1490188278,,,,,1957500011,TO
