name,inputs,size,threshold,threshold_param,threshold_cross,index,size_trim,size_bisim,size_sim,sim_rels,size_sc1,size_sc1_min,size_sc2,size_sc2_min,max_inter,time_bisim,time_sim,time_sc1,time_sc1_min,time_sc2,time_sc2_min,time_total,cancel
paper_pseudo2.ba,24,293,,,,,293,293,,,200649,778,,,,40258720,,1677014167,196236453,,,1913509340,
ost3_non_redundant.ba,256,2525,,,,,2525,2247,,,15532,548,,,,430286776,,1049014968,184804545,,,1664106289,
triboddpal.ba,4,3136,,,,,3136,2956,,,1098563,47,,,,70649413,,8685659704,289563670,,,9045872787,
thm5.ba,2,1790,,,,,1790,369,,,150420,12,,,,21757715,,687082435,35029492,,,743869642,
threepseudomw.ba,27,64,,,,,64,64,,,1705918,144,,,,16650816,,21261157221,684311206,,,21962119243,
agrees.ba,72,152,,,,,152,152,,,3534634,122,,,,52928587,,99576421076,4304560122,,,103933909785,
thm4test.ba,4,13065,,,,,13065,13065,,,1660923,79,,,,306743177,,145961906369,172146889,,,146440796435,
noabelcubeinf.ba,2,4651,,,,,4651,4532,,,2230716,19,,,,78139981,,161841368941,235585005,,,162155093927,
abelcubeinf.ba,2,4651,,,,,4651,4532,,,2230716,21,,,,77882781,,175605798059,243903513,,,175927584353,
triplevtm.ba,8,128,,,,,128,128,,,35400982,179,,,,10602348,,272778188740,4894185131,,,277682976219,
r3ef.ba,8,128,,,,,128,128,,,46036053,3044068,,,,11253227,,431941504126,76172587772,,,508125345125,
trib4.ba,4,24903,,,,,24903,22298,,,30521806,13,,,,686890739,,561551547733,19732546811,,,581970985283,
gamard2factoreq.ba,8,9195,,,,,9195,9068,,,17699273,8072,,,,438368577,,1082048574454,4307350076,,,1086794293107,
test0110.ba,8,11631,,,,,11631,10427,,,,,,,,509388167,,,,,,509388167,TO
tribmirror.ba,8,14001,,,,,14001,13394,,,,,,,,487320543,,,,,,487320543,TO
test0010.ba,8,11631,,,,,11631,10427,,,,,,,,451342582,,,,,,451342582,TO
test0001.ba,8,11631,,,,,11631,10427,,,,,,,,570822962,,,,,,570822962,TO
test0011.ba,8,11631,,,,,11631,10427,,,,,,,,479113795,,,,,,479113795,TO
testg0110.ba,8,12512,,,,,12512,12043,,,,,,,,558728626,,,,,,558728626,TO
tribfaceeq.ba,8,10452,,,,,10452,10124,,,,,,,,268252345,,,,,,268252345,TO
triple.ba,8,64,,,,,64,64,,,2952594,521,,,,7182598,,11480920093,524929925,,,12013032616,
prcrep3.ba,32,900,,,,,900,900,,,601173,1308,,,,76792280,,9357801519,392280607,,,9826874406,
z5.ba,625,199,,,,,199,199,,,,,,,,450918493,,,,,,450918493,TO
pisotlargepower.ba,4,10859,,,,,10859,10256,,,13114120,288,,,,241168765,,161806291509,7421035171,,,169468495445,
prcrep2.ba,32,1160,,,,,1160,1160,,,822162,1863,,,,83594380,,13557563186,530076520,,,14171234086,
threepseudovtm.ba,8,128,,,,,128,128,,,35400982,179,,,,10614257,,270110715650,4948589422,,,275069919329,
testg0101.ba,8,12512,,,,,12512,12043,,,,,,,,534823019,,,,,,534823019,TO
coef_rev.ba,625,313,,,,,313,313,,,,,,,,458450307,,,,,,458450307,TO
ost2_test.ba,729,12478,,,,,12478,10644,,,128267,65,,,,7166648163,,88689881776,3661414765,,,99517944704,
rudinpseudo.ba,8,1024,,,,,1024,1024,,,23674378,241,,,,57938957,,512552378835,4131751883,,,516742069675,
thm2test.ba,4,16791,,,,,16791,16791,,,3630186,84,,,,484111371,,544479264198,402468643,,,545365844212,
test0110b.ba,8,11631,,,,,11631,10427,,,,,,,,484336923,,,,,,484336923,TO
crep_1.ba,32,280,,,,,280,280,,,80207,714,,,,42794582,,740721881,100175021,,,883691484,
res.ba,ERR
toeplitz.ba,1323,100,,,,,100,100,,,142311,432,,,,269039110,,33978490244,11579923762,,,45827453116,
test0011b.ba,8,11631,,,,,11631,10427,,,,,,,,482793103,,,,,,482793103,TO
wleqfac.ba,ERR
crep_2.ba,32,186,,,,,186,186,,,87507,325,,,,37838276,,705179770,89430904,,,832448950,
tribpseudo3.ba,ERR
tribsquarelen.ba,4,4611,,,,,4611,4348,,,13159142,24,,,,81871627,,138232683695,7224473756,,,145539029078,
triplemw.ba,27,64,,,,,64,64,,,1705918,144,,,,16298614,,19930416922,622011602,,,20568727138,
testshur.ba,4,48257,,,,,48257,47391,,,25109972,11198,,,,2887818220,,2440956723755,6438172294,,,2450282714269,
testf0110.ba,8,12140,,,,,12140,10952,,,,,,,,532139442,,,,,,532139442,TO
pisotfaceeq.ba,ERR
testg0011.ba,8,12512,,,,,12512,12043,,,,,,,,578041454,,,,,,578041454,TO
test0010b.ba,8,11631,,,,,11631,10427,,,,,,,,501274690,,,,,,501274690,TO
test0101b.ba,8,11631,,,,,11631,10427,,,,,,,,495439022,,,,,,495439022,TO
testf0101.ba,8,12140,,,,,12140,10952,,,,,,,,528517763,,,,,,528517763,TO
och3.ba,27,2025,,,,,2025,1926,,,,,,,,181418597,,,,,,181418597,TO
test0101.ba,8,11631,,,,,11631,10427,,,,,,,,484096627,,,,,,484096627,TO
testf0010.ba,8,12140,,,,,12140,10952,,,,,,,,503700916,,,,,,503700916,TO
jaef.ba,ERR
